account,amount,%,balance,date
thealchemist,305227.06,10.54,305227.06 HYPHA,2021-10-12T05:52:45.436Z
cometogether,242162.44,8.36,242162.44 HYPHA,2021-10-12T05:52:44.772Z
thelovewitch,230355.28,7.96,230355.28 HYPHA,2021-10-12T05:52:45.430Z
dangermouse1,179487.31,6.20,179487.31 HYPHA,2021-10-12T05:52:44.770Z
hyphanewyork,179202.2,6.19,179202.20 HYPHA,2021-10-12T05:52:44.733Z
joachimstroh,120323.72,4.16,120323.72 HYPHA,2021-10-12T05:52:44.769Z
astoryteller,101859.98,3.52,101859.98 HYPHA,2021-10-12T05:52:44.772Z
lisalight231,93958.47,3.25,93958.47 HYPHA,2021-10-12T05:52:44.778Z
biodiversity,92000,3.18,92000.00 HYPHA,2021-10-12T05:52:44.713Z
illumination,91824.77,3.17,91824.77 HYPHA,2021-10-12T05:52:44.779Z
loveandlight,86838.48,3.00,86838.48 HYPHA,2021-10-12T05:52:44.777Z
markflowfarm,59912.52,2.07,59912.52 HYPHA,2021-10-12T05:52:44.728Z
supernatural,56917.12,1.97,56917.12 HYPHA,2021-10-12T05:52:45.465Z
acascalheira,55832.23,1.93,55832.23 HYPHA,2021-10-12T05:52:44.720Z
jaclynjhin11,54995.14,1.90,54995.14 HYPHA,2021-10-12T05:52:44.729Z
willblakey11,50595.83,1.75,50595.83 HYPHA,2021-10-12T05:52:45.444Z
iampriestess,45000,1.55,45000.00 HYPHA,2021-10-12T05:52:44.724Z
everywherehk,38400,1.33,38400.00 HYPHA,2021-10-12T05:52:44.750Z
vasylmarchuk,35033.74,1.21,35033.74 HYPHA,2021-10-12T05:52:45.466Z
paulcarvalho,33173.92,1.15,33173.92 HYPHA,2021-10-12T05:52:44.753Z
luigicarlini,32571.12,1.12,32571.12 HYPHA,2021-10-12T05:52:44.763Z
seeding1love,32258.84,1.11,32258.84 HYPHA,2021-10-12T05:52:45.457Z
montanath135,30000,1.04,30000.00 HYPHA,2021-10-12T05:52:44.743Z
searchingfor,30000,1.04,30000.00 HYPHA,2021-10-12T05:52:45.451Z
stefanrust12,29053.45,1.00,29053.45 HYPHA,2021-10-12T05:52:45.435Z
esteesh12345,23557.13,0.81,23557.13 HYPHA,2021-10-12T05:52:44.768Z
localscaling,21735.69,0.75,21735.69 HYPHA,2021-10-12T05:52:44.688Z
georgetaylor,21000,0.73,21000.00 HYPHA,2021-10-12T05:52:44.781Z
abrancusi123,20875.39,0.72,20875.39 HYPHA,2021-10-12T05:52:44.754Z
nomik22kimon,20681.94,0.71,20681.94 HYPHA,2021-10-12T05:52:44.769Z
mightymighty,20361.39,0.70,20361.39 HYPHA,2021-10-12T05:52:44.770Z
seedspiyush2,20169.07,0.70,20169.07 HYPHA,2021-10-12T05:52:45.444Z
exponential1,20045.19,0.69,20045.19 HYPHA,2021-10-12T05:52:44.762Z
clarelaverty,18270.46,0.63,18270.46 HYPHA,2021-10-12T05:52:44.715Z
nahimafzal11,17700,0.61,17700.00 HYPHA,2021-10-12T05:52:44.774Z
sonicsphinxy,15204.11,0.53,15204.11 HYPHA,2021-10-12T05:52:45.451Z
alanlaub1111,15000,0.52,15000.00 HYPHA,2021-10-12T05:52:44.774Z
alextrojan43,15000,0.52,15000.00 HYPHA,2021-10-12T05:52:44.765Z
cookieinbali,15000,0.52,15000.00 HYPHA,2021-10-12T05:52:44.773Z
febudfuture1,15000,0.52,15000.00 HYPHA,2021-10-12T05:52:44.702Z
greensurge12,15000,0.52,15000.00 HYPHA,2021-10-12T05:52:44.777Z
iblvnnwwrld1,15000,0.52,15000.00 HYPHA,2021-10-12T05:52:44.763Z
tamsinrose22,15000,0.52,15000.00 HYPHA,2021-10-12T05:52:45.427Z
wearesailing,15000,0.52,15000.00 HYPHA,2021-10-12T05:52:45.453Z
rocklandroad,14300,0.49,14300.00 HYPHA,2021-10-12T05:52:44.723Z
juliomonteir,13851.05,0.48,13851.05 HYPHA,2021-10-12T05:52:44.751Z
sevenflash42,13533.28,0.47,13533.28 HYPHA,2021-10-12T05:52:45.407Z
sanjayrajan1,13328.19,0.46,13328.19 HYPHA,2021-10-12T05:52:44.779Z
theremotecub,11942.77,0.41,11942.77 HYPHA,2021-10-12T05:52:45.437Z
totohmshanti,8821.57,0.30,8821.57 HYPHA,2021-10-12T05:52:45.452Z
gregory.tk,8713.42,0.30,8713.42 HYPHA,2021-10-12T05:52:44.689Z
c1or1dons115,8665,0.30,8665.00 HYPHA,2021-10-12T05:52:44.775Z
solomonx3333,8229.66,0.28,8229.66 HYPHA,2021-10-12T05:52:45.405Z
gradinagruiu,8057.69,0.28,8057.69 HYPHA,2021-10-12T05:52:44.687Z
westonshanec,8000,0.28,8000.00 HYPHA,2021-10-12T05:52:45.409Z
dao.hypha,7722.55,0.27,7722.55 HYPHA,2021-10-12T05:52:44.712Z
nicktucker11,7255.25,0.25,7255.25 HYPHA,2021-10-12T05:52:44.723Z
evgeiobrn243,6674.5,0.23,6674.50 HYPHA,2021-10-12T05:52:44.762Z
zerowastebcn,6500,0.22,6500.00 HYPHA,2021-10-12T05:52:45.465Z
dbeverywhere,6203.59,0.21,6203.59 HYPHA,2021-10-12T05:52:44.696Z
leonieherma1,5978.98,0.21,5978.98 HYPHA,2021-10-12T05:52:44.781Z
jasondoh1155,5758.63,0.20,5758.63 HYPHA,2021-10-12T05:52:44.752Z
azarltfpa455,4950,0.17,4950.00 HYPHA,2021-10-12T05:52:44.755Z
anneloes3313,4902.06,0.17,4902.06 HYPHA,2021-10-12T05:52:44.726Z
sienaraa3535,4766.12,0.16,4766.12 HYPHA,2021-10-12T05:52:45.453Z
stephengomes,4687.5,0.16,4687.50 HYPHA,2021-10-12T05:52:45.456Z
jasonrswamy1,4605.71,0.16,4605.71 HYPHA,2021-10-12T05:52:44.757Z
aleksandardj,3668.88,0.13,3668.88 HYPHA,2021-10-12T05:52:44.734Z
kimmarsh1111,3518.53,0.12,3518.53 HYPHA,2021-10-12T05:52:44.778Z
rainskyarel5,3275.43,0.11,3275.43 HYPHA,2021-10-12T05:52:44.692Z
stephenreid1,3104,0.11,3104.00 HYPHA,2021-10-12T05:52:45.466Z
carleymonty1,3081.82,0.11,3081.82 HYPHA,2021-10-12T05:52:44.720Z
lukskywalker,2777.75,0.10,2777.75 HYPHA,2021-10-12T05:52:44.775Z
seedsofheart,2545.9,0.09,2545.90 HYPHA,2021-10-12T05:52:45.422Z
adafriedrich,2534.52,0.09,2534.52 HYPHA,2021-10-12T05:52:44.717Z
sanjeevsingh,2525,0.09,2525.00 HYPHA,2021-10-12T05:52:45.435Z
martinaepple,2171.2,0.07,2171.20 HYPHA,2021-10-12T05:52:44.728Z
takayaren555,2139.44,0.07,2139.44 HYPHA,2021-10-12T05:52:45.408Z
gguijarro123,2115.18,0.07,2115.18 HYPHA,2021-10-12T05:52:44.758Z
matteotangi1,1980.5,0.07,1980.50 HYPHA,2021-10-12T05:52:44.714Z
dstudioproto,1949.2,0.07,1949.20 HYPHA,2021-10-12T05:52:44.685Z
christelos55,1904.45,0.07,1904.45 HYPHA,2021-10-12T05:52:44.730Z
virtuousloop,1896.32,0.07,1896.32 HYPHA,2021-10-12T05:52:45.454Z
atmalife2312,1791.13,0.06,1791.13 HYPHA,2021-10-12T05:52:44.767Z
ronscroggin1,1619.07,0.06,1619.07 HYPHA,2021-10-12T05:52:44.766Z
lukegravdent,1374.58,0.05,1374.58 HYPHA,2021-10-12T05:52:44.727Z
rpiesveloces,1282.9,0.04,1282.90 HYPHA,2021-10-12T05:52:44.768Z
natajuvbr125,1171.83,0.04,1171.83 HYPHA,2021-10-12T05:52:44.743Z
ugxxqvybh233,1105.23,0.04,1105.23 HYPHA,2021-10-12T05:52:45.453Z
pmdwithseeds,1097.41,0.04,1097.41 HYPHA,2021-10-12T05:52:44.780Z
denistoledoo,1085.08,0.04,1085.08 HYPHA,2021-10-12T05:52:44.750Z
massimohypha,1033.7,0.04,1033.70 HYPHA,2021-10-12T05:52:44.772Z
kuntterbunt1,936,0.03,936.00 HYPHA,2021-10-12T05:52:44.742Z
minosdoros55,889.84,0.03,889.84 HYPHA,2021-10-12T05:52:44.712Z
etherweaver1,811.2,0.03,811.20 HYPHA,2021-10-12T05:52:44.696Z
leoslaagr421,810,0.03,810.00 HYPHA,2021-10-12T05:52:44.703Z
natureboy222,656.4,0.02,656.40 HYPHA,2021-10-12T05:52:44.765Z
radiantseeds,650,0.02,650.00 HYPHA,2021-10-12T05:52:44.778Z
starseedyogi,500,0.02,500.00 HYPHA,2021-10-12T05:52:45.420Z
cedricseedss,455,0.02,455.00 HYPHA,2021-10-12T05:52:44.773Z
donations.gm,455,0.02,455.00 HYPHA,2021-10-12T05:52:44.774Z
magic1234555,450,0.02,450.00 HYPHA,2021-10-12T05:52:44.781Z
gerard5ph321,371,0.01,371.00 HYPHA,2021-10-12T05:52:44.773Z
jedipath3335,321.75,0.01,321.75 HYPHA,2021-10-12T05:52:44.683Z
earthgym.gm,195,0.01,195.00 HYPHA,2021-10-12T05:52:44.760Z
peterrakj234,177.06,0.01,177.06 HYPHA,2021-10-12T05:52:44.752Z
danigorfest3,133,0.00,133.00 HYPHA,2021-10-12T05:52:44.738Z
skyblueearth,116.31,0.00,116.31 HYPHA,2021-10-12T05:52:45.422Z
imprvsociety,113.24,0.00,113.24 HYPHA,2021-10-12T05:52:44.781Z
marcmarcmarc,108.44,0.00,108.44 HYPHA,2021-10-12T05:52:44.726Z
cathk33seeds,107.64,0.00,107.64 HYPHA,2021-10-12T05:52:44.735Z
inhabit4love,104.65,0.00,104.65 HYPHA,2021-10-12T05:52:44.753Z
khempoudel12,102.06,0.00,102.06 HYPHA,2021-10-12T05:52:44.708Z
hyphax.seeds,73.17,0.00,73.17 HYPHA,2021-10-12T05:52:44.760Z
emanwplcl322,35.1,0.00,35.10 HYPHA,2021-10-12T05:52:44.771Z
oumniaabidi1,35.1,0.00,35.10 HYPHA,2021-10-12T05:52:44.770Z
nadimhamdan1,5.87,0.00,5.87 HYPHA,2021-10-12T05:52:44.767Z
geschichten1,2.09,0.00,2.09 HYPHA,2021-10-12T05:52:44.764Z
vedadogguija,1.01,0.00,1.01 HYPHA,2021-10-12T05:52:45.465Z
coldstorage1,1,0.00,1.00 HYPHA,2021-10-12T05:52:44.697Z
twakefield14,1,0.00,1.00 HYPHA,2021-10-12T05:52:45.436Z
rory,0.86,0.00,0.86 HYPHA,2021-10-12T05:52:44.755Z
andytheseeds,0.82,0.00,0.82 HYPHA,2021-10-12T05:52:44.731Z
belledemoise,0.28,0.00,0.28 HYPHA,2021-10-12T05:52:44.764Z
apostolseeds,0.02,0.00,0.02 HYPHA,2021-10-12T05:52:44.776Z
pedroteux123,0.01,0.00,0.01 HYPHA,2021-10-12T05:52:44.734Z
faanch1134ac,0,0.00,0.00 HYPHA,2021-10-12T05:52:44.752Z
jcroemer1111,0,0.00,0.00 HYPHA,2021-10-12T05:52:44.723Z
kapishdutta1,0,0.00,0.00 HYPHA,2021-10-12T05:52:44.779Z
michaelmatio,0,0.00,0.00 HYPHA,2021-10-12T05:52:44.766Z
swapx.seeds,0,0.00,0.00 HYPHA,2021-10-12T05:52:45.466Z
