scientisttop,"1,817.000",15,"27,255.000"
pedromoscoso,865.450,20,"17,309.000"
forevergreen,606.690,20,"12,133.800"
kuntterbunt1,455.000,15,"6,825.000"
donations.gm,455.000,5,"2,275.000"
romboxen1234,379.860,20,"7,597.200"
freedomcell1,325.140,5,"1,625.700"
hanssprungli,42.690,5,213.450
rpiesveloces,41.030,5,205.150
stephend1111,14.250,15,213.750
bigorna12345,5.990,5,29.950
nadimhamdan1,5.590,5,27.950
originalogos,5.090,5,25.450
atmalife2312,4.630,5,23.150
illumination,2.000,1,2.000
blockchain5d,1.640,5,8.200
twakefield14,1.000,5,5.000
jcroemer1111,1.000,5,5.000
coldstorage1,1.000,20,20.000
rory,0.860,5,4.300
andytheseeds,0.820,5,4.100
belledemoise,0.280,5,1.400
pedroteux123,0.100,5,0.500
apostolseeds,0.020,20,0.400